"","id","gestures","labels","gestures_w_labels"
"1","084",14,38,10
"2","105",20,86,20
"3","109",26,81,24
"4","114",41,68,28
"5","121",21,43,18
"6","132",28,55,16
"7","133",13,35,9
"8","140",10,49,7
"9","141",26,120,25
"10","145",17,46,12
"11","146",19,24,10
"12","150",27,41,18
"13","157",17,91,14
"14","168",19,58,15
"15","182",32,63,23
"16","190",13,42,10
"17","192",17,51,12
"18","193",10,22,7
"19","196",7,61,5
"20","197",15,0,0
"21","232",16,34,13
"22","260",21,53,14
"23","308",15,33,12
"24","309",33,59,29
"25","310",10,24,5
"26","351",9,16,2
"27","354",11,26,8
"28","355",13,77,9
"29","369",21,41,13
"30","370",18,18,7
"31","372",12,24,8
"32","400",29,59,26
"33","401",16,46,12
"34","411",23,50,18
"35","414",17,14,7
"36","415",15,24,10
"37","417",15,8,1
"38","431",29,0,0
"39","433",6,0,0
"40","436",10,0,0
"41","444",27,0,0
"42","445",2,0,0
